Id,Prediction
00002-02.txt,QQ
00002-04.txt,QQ
00002-06.txt,QQ
00002-07.txt,QQ
00002-08.txt,QQ
00002-09.txt,QQ
00002-11.txt,QQ
00002-12.txt,QQ
00002-14.txt,QQ
00002-15.txt,QQ
00002-16.txt,QQ
00002-17.txt,QQ
00002-18.txt,QQ
00002-19.txt,QQ
00002-20.txt,QQ
00002-21.txt,QQ
00002-22.txt,QQ
00002-23.txt,QQ
00002-24.txt,QQ
00002-25.txt,QQ
00002-26.txt,QQ
00002-28.txt,QQ
00002-29.txt,QQ
00003-01.txt,QQ
00003-02.txt,QQ
00003-03.txt,QQ
00003-04.txt,QQ
00003-05.txt,QQ
00003-06.txt,QQ
00003-07.txt,QQ
00003-08.txt,QQ
00003-09.txt,QQ
00003-10.txt,QQ
00003-11.txt,QQ
00003-12.txt,QQ
00003-13.txt,QQ
00005-01.txt,QQ
00005-02.txt,QQ
00005-03.txt,QQ
00005-04.txt,QQ
00005-05.txt,QQ
00005-06.txt,QQ
00005-07.txt,QQ
00005-08.txt,QQ
00005-09.txt,QQ
00005-10.txt,QQ
00005-11.txt,QQ
00005-12.txt,QQ
00005-13.txt,QQ
00005-14.txt,QQ
00005-15.txt,QQ
00005-16.txt,QQ
00005-17.txt,QQ
00005-19.txt,QQ
00005-20.txt,QQ
00005-21.txt,QQ
00005-22.txt,QQ
00005-23.txt,QQ
00005-24.txt,QQ
00005-25.txt,QQ
00005-26.txt,QQ
00005-27.txt,QQ
00005-28.txt,QQ
00005-30.txt,QQ
00005-31.txt,QQ
00005-32.txt,QQ
00005-33.txt,QQ
00005-34.txt,QQ
00005-35.txt,QQ
00005-36.txt,QQ
00005-37.txt,QQ
00005-38.txt,QQ
00005-39.txt,QQ
00005-40.txt,QQ
00005-41.txt,QQ
00005-42.txt,QQ
00005-43.txt,QQ
00005-44.txt,QQ
00005-45.txt,QQ
00005-46.txt,QQ
00005-47.txt,QQ
00005-48.txt,QQ
00005-50.txt,QQ
00005-51.txt,QQ
00005-52.txt,QQ
00005-53.txt,QQ
00005-54.txt,QQ
00005-55.txt,QQ
00005-56.txt,QQ
00005-57.txt,QQ
00005-58.txt,QQ
00005-59.txt,QQ
00005-60.txt,QQ
00005-61.txt,QQ
00008-01.txt,QQ
00008-02.txt,QQ
00008-03.txt,QQ
00008-05.txt,QQ
00008-07.txt,QQ
00008-08.txt,QQ
00008-09.txt,QQ
00008-10.txt,QQ
00010-02.txt,QQ
00010-03.txt,QQ
00021-01.txt,QQ
00021-02.txt,QQ
00021-03.txt,QQ
00021-04.txt,QQ
00021-06.txt,QQ
00021-07.txt,QQ
00021-08.txt,QQ
00021-09.txt,QQ
00021-10.txt,QQ
00021-11.txt,QQ
00021-12.txt,QQ
00021-13.txt,QQ
00021-14.txt,QQ
00021-15.txt,QQ
00021-16.txt,QQ
00021-17.txt,QQ
00021-18.txt,QQ
00021-19.txt,QQ
00021-20.txt,QQ
00021-22.txt,QQ
00021-23.txt,QQ
00021-24.txt,QQ
00021-26.txt,QQ
00021-27.txt,QQ
00021-29.txt,QQ
00021-30.txt,QQ
00021-31.txt,QQ
00021-33.txt,QQ
00021-34.txt,QQ
00021-36.txt,QQ
00021-38.txt,QQ
00021-39.txt,QQ
00021-40.txt,QQ
00021-41.txt,QQ
00021-43.txt,QQ
00022-02.txt,QQ
00022-03.txt,QQ
00022-04.txt,QQ
00022-05.txt,QQ
00022-06.txt,QQ
00022-07.txt,QQ
00022-09.txt,QQ
00022-11.txt,QQ
00022-12.txt,QQ
00022-15.txt,QQ
00022-16.txt,QQ
00022-17.txt,QQ
00022-18.txt,QQ
00022-22.txt,QQ
00022-23.txt,QQ
00022-24.txt,QQ
00022-25.txt,QQ
00022-26.txt,QQ
00022-29.txt,QQ
00022-31.txt,QQ
00022-34.txt,QQ
00022-35.txt,QQ
00022-36.txt,QQ
00022-37.txt,QQ
00022-38.txt,QQ
00022-39.txt,QQ
00022-40.txt,QQ
00022-41.txt,QQ
00025-01.txt,QQ
00025-02.txt,QQ
00025-03.txt,QQ
00025-04.txt,QQ
00025-05.txt,QQ
00026-01.txt,QQ
00026-02.txt,QQ
00026-03.txt,QQ
00026-04.txt,QQ
00026-05.txt,QQ
00026-06.txt,QQ
00026-07.txt,QQ
00026-08.txt,QQ
00026-09.txt,QQ
00026-12.txt,QQ
00026-13.txt,QQ
00026-14.txt,QQ
00026-15.txt,QQ
00037-01.txt,QQ
00037-02.txt,QQ
00037-03.txt,QQ
00037-04.txt,QQ
00037-05.txt,QQ
00037-06.txt,QQ
00037-07.txt,QQ
00037-08.txt,QQ
00037-09.txt,QQ
00037-10.txt,QQ
00037-11.txt,QQ
00037-12.txt,QQ
00037-13.txt,QQ
00037-14.txt,QQ
00037-15.txt,QQ
00037-16.txt,QQ
00037-17.txt,QQ
00037-18.txt,QQ
00037-19.txt,QQ
00037-20.txt,QQ
00037-21.txt,QQ
00037-22.txt,QQ
00037-23.txt,QQ
00037-24.txt,QQ
00037-25.txt,QQ
00037-26.txt,QQ
00037-27.txt,QQ
00037-28.txt,QQ
00037-29.txt,QQ
00037-30.txt,QQ
00037-31.txt,QQ
00037-32.txt,QQ
00037-33.txt,QQ
00038-01.txt,QQ
00038-02.txt,QQ
00038-03.txt,QQ
00038-04.txt,QQ
00038-05.txt,QQ
00038-06.txt,QQ
00038-07.txt,QQ
00038-08.txt,QQ
00038-09.txt,QQ
00038-10.txt,QQ
00038-11.txt,QQ
00038-12.txt,QQ
00038-13.txt,QQ
00038-14.txt,QQ
00038-15.txt,QQ
00038-16.txt,QQ
00038-17.txt,QQ
00038-18.txt,QQ
00038-19.txt,QQ
00038-20.txt,QQ
00038-21.txt,QQ
00038-22.txt,QQ
00038-24.txt,QQ
00038-26.txt,QQ
00038-27.txt,QQ
00038-28.txt,QQ
00038-29.txt,QQ
00038-30.txt,QQ
00038-31.txt,QQ
00038-32.txt,QQ
00038-33.txt,QQ
00038-34.txt,QQ
00038-35.txt,QQ
00038-36.txt,QQ
00038-37.txt,QQ
00038-38.txt,QQ
00038-39.txt,QQ
00038-40.txt,QQ
00038-41.txt,QQ
00038-42.txt,QQ
00038-43.txt,QQ
00038-44.txt,QQ
00038-45.txt,QQ
00038-46.txt,QQ
00038-48.txt,QQ
00038-49.txt,QQ
00038-50.txt,QQ
00038-51.txt,QQ
00038-52.txt,QQ
00038-53.txt,QQ
00038-54.txt,QQ
00038-55.txt,QQ
00038-56.txt,QQ
00038-57.txt,QQ
00038-58.txt,QQ
00038-59.txt,QQ
00038-60.txt,QQ
00038-61.txt,QQ
00038-62.txt,QQ
00038-63.txt,QQ
00038-64.txt,QQ
00038-65.txt,QQ
00038-69.txt,QQ
00039-01.txt,QQ
00039-04.txt,QQ
00039-08.txt,QQ
00039-23.txt,QQ
00039-24.txt,QQ
00039-25.txt,QQ
00039-26.txt,QQ
00039-27.txt,QQ
00039-28.txt,QQ
00039-29.txt,QQ
00039-30.txt,QQ
00039-41.txt,QQ
00039-43.txt,QQ
00041-01.txt,QQ
00041-03.txt,QQ
00041-04.txt,QQ
00041-05.txt,QQ
00041-06.txt,QQ
00041-07.txt,QQ
00041-08.txt,QQ
00041-09.txt,QQ
00041-11.txt,QQ
00041-12.txt,QQ
00041-13.txt,QQ
00041-14.txt,QQ
00041-15.txt,QQ
00041-16.txt,QQ
00041-17.txt,QQ
00041-18.txt,QQ
00042-01.txt,QQ
00042-02.txt,QQ
00042-03.txt,QQ
00042-04.txt,QQ
00043-01.txt,QQ
00043-02.txt,QQ
00043-03.txt,QQ
00043-04.txt,QQ
00043-05.txt,QQ
00043-06.txt,QQ
00043-08.txt,QQ
00043-09.txt,QQ
00043-10.txt,QQ
00043-11.txt,QQ
00043-12.txt,QQ
00043-13.txt,QQ
00043-14.txt,QQ
00043-15.txt,QQ
00043-16.txt,QQ
00043-17.txt,QQ
00045-01.txt,QQ
00045-02.txt,QQ
00045-03.txt,QQ
00045-04.txt,QQ
00045-05.txt,QQ
00045-06.txt,QQ
00045-07.txt,QQ
00047-01.txt,QQ
00047-02.txt,QQ
00047-03.txt,QQ
00047-04.txt,QQ
00047-05.txt,QQ
00047-06.txt,QQ
00047-07.txt,QQ
00050-01.txt,QQ
00050-02.txt,QQ
00050-03.txt,QQ
00050-04.txt,QQ
00050-05.txt,QQ
00050-06.txt,QQ
00050-07.txt,QQ
00050-08.txt,QQ
00050-09.txt,QQ
00050-10.txt,QQ
00050-11.txt,QQ
00051-01.txt,QQ
00051-02.txt,QQ
00051-03.txt,QQ
00051-04.txt,QQ
00051-05.txt,QQ
00051-06.txt,QQ
00051-07.txt,QQ
00051-08.txt,QQ
00051-09.txt,QQ
00051-10.txt,QQ
00051-11.txt,QQ
00053-01.txt,QQ
00053-02.txt,QQ
00053-03.txt,QQ
00053-04.txt,QQ
00053-05.txt,QQ
00053-06.txt,QQ
00053-07.txt,QQ
00053-08.txt,QQ
00053-09.txt,QQ
00053-10.txt,QQ
00053-11.txt,QQ
00053-12.txt,QQ
00053-14.txt,QQ
00053-15.txt,QQ
00053-16.txt,QQ
00053-17.txt,QQ
00053-18.txt,QQ
00053-19.txt,QQ
00053-20.txt,QQ
00053-21.txt,QQ
00053-22.txt,QQ
00053-23.txt,QQ
00053-24.txt,QQ
00053-25.txt,QQ
00053-26.txt,QQ
00053-27.txt,QQ
00053-28.txt,QQ
00053-29.txt,QQ
00053-30.txt,QQ
